FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

index	1	
time	13:07:03  18.12.2023	
id	OJIP	
35321	23050	
36321	23017	
37321	22952	
38321	22985	
39321	23050	
40321	22985	
41321	22985	
42321	23050	
43321	22985	
44321	23017	
45321	23017	
46321	23017	
47321	22985	
48321	23082	
49321	23082	
50321	23017	
51321	23050	
52321	23050	
53321	23050	
54321	22985	
55321	22985	
56321	23050	
57321	23017	
58321	23050	
59321	23050	
60321	23050	
61321	23017	
62321	23050	
63321	23050	
64321	23082	
65321	23082	
66321	23082	
67321	23050	
68321	23082	
69321	23115	
70321	23082	
71321	23017	
72321	23082	
73321	23115	
74321	23082	
75321	23082	
76321	23115	
77321	23180	
78321	23147	
79321	23147	
80321	23147	
81321	23147	
82321	23115	
83321	23147	
84321	23212	
85321	23245	
86321	23212	
87321	23310	
88321	23245	
89321	23310	
90321	23342	
101621	23570	
111621	23733	
121621	23928	
131621	24090	
141621	24188	
151621	24220	
161621	24415	
171621	24383	
181621	24415	
191621	24480	
201621	24480	
211621	24480	
221621	24513	
231621	24513	
241621	24545	
251621	24480	
261621	24545	
271621	24480	
281621	24545	
291621	24448	
301621	24448	
311621	24480	
321621	24448	
331621	24448	
341621	24448	
351621	24448	
361621	24448	
371621	24350	
381621	24415	
391621	24415	
401621	24480	
411621	24383	
421621	24350	
431621	24415	
441621	24448	
451621	24415	
461621	24383	
471621	24350	
481621	24448	
491621	24383	
501621	24415	
511621	24415	
521621	24448	
531621	24415	
541621	24415	
551621	24318	
561621	24383	
571621	24415	
581621	24448	
591621	24350	
601621	24415	
611621	24383	
621621	24448	
631621	24415	
641621	24415	
651621	24415	
661621	24383	
671621	24480	
681621	24415	
691621	24415	
701621	24415	
711621	24448	
721621	24448	
731621	24415	
741621	24383	
751621	24383	
761621	24383	
771621	24415	
781621	24415	
791621	24318	
801621	24480	
811621	24383	
821621	24383	
831621	24383	
841621	24448	
851621	24448	
861621	24415	
871621	24415	
881621	24448	
891621	24415	
901621	24383	
911621	24383	
921621	24415	
931621	24350	
941621	24383	
951621	24415	
961621	24350	
971621	24448	
981621	24448	
991621	24415	
1001621	24480	
1011621	24415	
1021621	24350	
1031621	24383	
1041621	24383	
1051621	24383	
1061621	24350	
1071621	24350	
1081621	24350	
1091621	24448	
1101621	24448	
1111621	24415	
1121621	24383	
1131621	24350	
1141621	24415	
1151621	24448	
1161621	24383	
1171621	24383	
1181621	24415	
1191621	24383	
1201621	24415	
1211621	24448	
1221621	24415	
1231621	24415	
1241621	24383	
1251621	24415	
1261621	24383	
1271621	24350	
1281621	24383	
1291621	24350	
1301621	24383	
1311621	24448	
1321621	24350	
1331621	24415	
1341621	24383	
1351621	24383	
1361621	24415	
1371621	24350	
1381621	24415	
1391621	24350	
1401621	24350	
1411621	24383	
1421621	24383	
1431621	24415	
1441621	24350	
1451621	24415	
1461621	24415	
1471621	24448	
1481621	24383	
1491621	24350	
1501621	24350	
1511621	24383	
1521621	24350	
1531621	24383	
1541621	24383	
1551621	24350	
1561621	24350	
1571621	24318	
1581621	24318	
1591621	24383	
1601621	24318	
1611621	24318	
1621621	24448	
1631621	24383	
1641621	24350	
1651621	24383	
1661621	24350	
1671621	24383	
1681621	24383	
1691621	24383	
1701621	24383	
1711621	24350	
1721621	24318	
1731621	24285	
1741621	24383	
1751621	24383	
1761621	24318	
1771621	24383	
1781621	24285	
1791621	24318	
1801621	24350	
1811621	24318	
1821621	24350	
1831621	24318	
1841621	24285	
1851621	24383	
1861621	24318	
1871621	24350	
1881621	24318	
1891621	24285	
1901621	24285	
1911621	24415	
1921621	24350	
1931621	24350	
1941621	24285	
1951621	24350	
1961621	24350	
1971621	24318	
1981621	24350	
1991621	24318	
2001621	24318	
Bckg	292	
Fo	16516	
Fj	22628	
Fi	22725	
Fm	24253	
Fv	7737	
Vj	0.790	
Vi	0.803	
Fm/Fo	1.468	
Fv/Fo	0.468	
Fv/Fm	0.319	
Mo	1.681	
Area	5671384	
Fix Area	24008442	
HACH Area	7493103	
Sm	733.021	
Ss	0.470	
N	1559.589	
Phi_Po	0.319	
Psi_o	0.210	
Phi_Eo	0.067	
Phi_Do	0.681	
Phi_Pav	967.807	
Pi_Abs	0.019	
ABS/RC	6.669	
TRo/RC	2.128	
ETo/RC	0.447	
DIo/RC	4.542	
FLASH-Wavelength [nm]	620.00	
FLASH-Percent [%]	30.00	
FLASH-Intensity [uE]	-NAN	
SUPER-Wavelength [nm]	620.00	
SUPER-Percent [%]	50.00	
SUPER-Intensity [uE]	-NAN	
ACTINIC-Wavelength [nm]	620.00	
ACTINIC-Percent [%]	10.00	
ACTINIC-Intensity [uE]	100.00	
description		
